@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,exactMatch,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-03,http://www.w3.org/2004/02/skos/core#Concept,99994-03,Geannuleerd dossier - Dubbele INSZ,Dossier geannuleerd omdat er bestaan twee identificatienummers voor dezelfde persoon.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-04,http://www.w3.org/2004/02/skos/core#Concept,99994-04,Geannuleerd dossier - Programmafout,Dossier geannuleerd door een verzameling van meerdere dossiers per vergissing (programmafout).,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-05,http://www.w3.org/2004/02/skos/core#Concept,99994-05,Geannuleerd dossier - Geslachtsverandering,Dossier geannuleerd omdat de persoon veranderde van geslacht waarvoor er een nieuw dossier is aangemaakt of een bestaand dossier is hernomen.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-06,http://www.w3.org/2004/02/skos/core#Concept,99994-06,Geannuleerd dossier - Incorrecte identiteit,Dossier geannuleerd omdat de indentiteit is incorrect ingegeven.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-07,http://www.w3.org/2004/02/skos/core#Concept,99994-07,Geannuleerd dossier - Stopzetting schijnrelatie,Dossier geannuleerd door stopzetting procedure schijnrelatie.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-08,http://www.w3.org/2004/02/skos/core#Concept,99994-08,Geannuleerd dossier - Geboortedatum fout verzameld,Dossier geannuleerd door fout in de geboortedatum bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-09,http://www.w3.org/2004/02/skos/core#Concept,99994-09,Geannuleerd dossier - Geslacht fout verzameld,Dossier geannuleerd door fout betreffende het geslacht bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99994-10,http://www.w3.org/2004/02/skos/core#Concept,99994-10,Geannuleerd dossier - Geslacht en geboortedatum fout verzameld,Dossier geannuleerd door fout in de geboortedatum en betreffende het geslacht bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99995,http://www.w3.org/2004/02/skos/core#Concept,99995,Vrijgesteld van inschrijving,De persoon is vrijgesteld van inschrijving.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99996,http://www.w3.org/2004/02/skos/core#Concept,99996,Afwezig verklaard,De persoon is afwezig verklaard.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99997,http://www.w3.org/2004/02/skos/core#Concept,99997,Afvoering - verlies van het recht op verblijf,De persoon verloor het recht op verblijf.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/99998,http://www.w3.org/2004/02/skos/core#Concept,99998,Afvoering - geen recht op inschrijving,De persoon heeft geen recht op inschrijving.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/21099,http://www.w3.org/2004/02/skos/core#Concept,21099,Dienst vreemdelingenzaken,De persoon is gecollecteerd door de Dienst Vreemdelingenzaken in het wachtregister.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/concept/IT001/Dossierstatus/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,,
https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Dossierstatus-v1,Codelijst IT001 Dossierstatus types (v1),Codelijst van de dossierstatus types in Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus,https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus,,
https://data.vlaanderen.be/id/conceptscheme/IT001/Dossierstatus,http://www.w3.org/2004/02/skos/core#ConceptScheme,Dossierstatus,Codelijst IT001 Dossierstatus types,Codelijst van de dossierstatus types in Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/IT001,https://data.vlaanderen.be/id/conceptscheme/IT001,,
https://data.vlaanderen.be/id/conceptscheme/IT001,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT001,Codelijst IT001,Codelijst van Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,
