@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/concept/IT020/DomicilieStatus/v1/Bevestigd,http://www.w3.org/2004/02/skos/core#Concept,Bevestigd,Bevestigd domicilieadres,Domicilieadres is bevestigd door de wijkagent.,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,,,
https://data.vlaanderen.be/id/concept/IT020/DomicilieStatus/v1/Aangifte,http://www.w3.org/2004/02/skos/core#Concept,Aangifte,Aangegeven domicilieadres,Domicilieadres is aangegeven door de persoon bij de gemeente.,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,,,
https://data.vlaanderen.be/id/concept/IT020/DomicilieStatus/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,,,
https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,DomicilieStatus-v1,Codelijst IT020 Domicilie status (v1),Codelijst van de status van een domicilie in Informatie Type 020 'Adres van de hoofdverblijfplaats'.,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus,https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus,,,
https://data.vlaanderen.be/id/conceptscheme/IT020/DomicilieStatus,http://www.w3.org/2004/02/skos/core#ConceptScheme,DomicilieStatus,Codelijst IT020 Domicilie status,Codelijst van de status van een domicilie in Informatie Type 020 'Adres van de hoofdverblijfplaats'.,https://data.vlaanderen.be/id/conceptscheme/IT020,https://data.vlaanderen.be/id/conceptscheme/IT020,,,
https://data.vlaanderen.be/id/conceptscheme/IT020,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT020,Codelijst IT020,Codelijst van Informatie Type 020 'Adres van de hoofdverblijfplaats'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
