@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/v1/1,http://www.w3.org/2004/02/skos/core#Concept,1,Voorlopige inschrijving,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/v1/2,http://www.w3.org/2004/02/skos/core#Concept,2,Juridische of administratieve actie,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/v1/3,http://www.w3.org/2004/02/skos/core#Concept,3,Juridische of administratieve actie die verwijdering oplegt,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/v1/4,http://www.w3.org/2004/02/skos/core#Concept,4,Juridische of administratieve beslissing die toelating geeft om te blijven,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,,,
https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,ProcedureType-v1,Codelijst IT028 Procedure types (v1),Codelijst van de procedure types in Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,,,
https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,http://www.w3.org/2004/02/skos/core#ConceptScheme,ProcedureType,Codelijst IT028 Procedure types,Codelijst van de procedure types in Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/IT028,https://data.vlaanderen.be/id/conceptscheme/IT028,,,
https://data.vlaanderen.be/id/conceptscheme/IT028,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT028,Codelijst IT028,Codelijst van Informatie Type 028 'Voorlopige Inschrijving'.,,,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
