@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/conceptscheme/IT028/RedenAfwezigheid,http://www.w3.org/2004/02/skos/core#ConceptScheme,ProcedureType,Codelijst IT028 Procedure types,Codelijst van de procedure types in Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/IT028,https://data.vlaanderen.be/id/conceptscheme/IT028,,,
https://data.vlaanderen.be/id/conceptscheme/IT028,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT028,Codelijst IT028,Codelijst van Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
