@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,remarks,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/10,http://www.w3.org/2004/02/skos/core#Concept,10,Ongehuwd,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/20,http://www.w3.org/2004/02/skos/core#Concept,20,Gehuwd,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/25,http://www.w3.org/2004/02/skos/core#Concept,25,Nietigverklaring van het huwelijk,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/26,http://www.w3.org/2004/02/skos/core#Concept,26,Putatief huwelijk,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/30,http://www.w3.org/2004/02/skos/core#Concept,30,Weduwnaar (weduwe),,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/40,http://www.w3.org/2004/02/skos/core#Concept,40,Gescheiden,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/41,http://www.w3.org/2004/02/skos/core#Concept,41,Echtscheiding uitgesproken met toepassing van de wet van 30 juni 1994,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/50,http://www.w3.org/2004/02/skos/core#Concept,50,Scheiding van tafel en bed en van goederen,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/51,http://www.w3.org/2004/02/skos/core#Concept,51,scheiding van tafel en bed en van goederen uitgesproken met toepassing van de wet van 30 juni 1994,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/60,http://www.w3.org/2004/02/skos/core#Concept,60,Ontbinding van het huwelijk op een bijzondere wijze,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/80,http://www.w3.org/2004/02/skos/core#Concept,80,Partnerschap,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/81,http://www.w3.org/2004/02/skos/core#Concept,81,Beëindiging  partnerschap,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/concept/IT120/BurgerlijkeStaattype/90,http://www.w3.org/2004/02/skos/core#Concept,90,Onbepaald,,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,,,
https://data.vlaanderen.be/id/conceptscheme/IT120/BurgerlijkeStaattype,http://www.w3.org/2004/02/skos/core#ConceptScheme,BurgerlijkeStaattype,Burgerlijke Staat types,Codelijst van de burgerlijke staat types in Informatie Type 120 'Burgerlijke Staat'.,https://data.vlaanderen.be/id/conceptscheme/IT120,https://data.vlaanderen.be/id/conceptscheme/IT120,,,
https://data.vlaanderen.be/id/conceptscheme/IT120,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT120,Codelijst IT120,Codelijst van Informatie Type 120 'Burgerlijke staat'.,,,,,
