@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,remarks,
https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,http://www.w3.org/2004/02/skos/core#ConceptScheme,ProcedureType,Procedure types,Codelijst van de procedure types in Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/IT028,https://data.vlaanderen.be/id/conceptscheme/IT028,,,
https://data.vlaanderen.be/id/conceptscheme/IT028,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT028,Codelijst IT028,Codelijst van Informatie Type 028 'Voorlopige Inschrijving'.,,,,,
,,,,,,,,,
