@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,note,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/17,http://www.w3.org/2004/02/skos/core#Concept,17,Afstamming van moederszijde ingevolge de nietigverklaring van de afstamming van vaderszijde (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/18,http://www.w3.org/2004/02/skos/core#Concept,18,Onbekende afstamming (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/19,http://www.w3.org/2004/02/skos/core#Concept,19,Onbepaalde afstamming (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/20,http://www.w3.org/2004/02/skos/core#Concept,20,Afstamming van vaderszijde door erkenning (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/21,http://www.w3.org/2004/02/skos/core#Concept,21,Afstamming van moeders- en/of vaderszijde door vonnis (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/22,http://www.w3.org/2004/02/skos/core#Concept,22,Afstamming van vaderszijde door nietigverklaring van de afstamming van moederszijde (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/23,http://www.w3.org/2004/02/skos/core#Concept,23,Nietigverklaring van de afstamming van moeders- en/of vaderszijde (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/24,http://www.w3.org/2004/02/skos/core#Concept,24,Herroeping adoptie (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/25,http://www.w3.org/2004/02/skos/core#Concept,25,Kind geboren uit het huwelijk van twee vrouwen (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/26,http://www.w3.org/2004/02/skos/core#Concept,26,Afstamming van moederszijde met erkenning van de meemoeder bij de geboorte (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/27,http://www.w3.org/2004/02/skos/core#Concept,27,Afstamming van meemoederszijde door erkenning (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/28,http://www.w3.org/2004/02/skos/core#Concept,28,Afstamming van meemoederszijde en/of moederszijde door vonnis (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/29,http://www.w3.org/2004/02/skos/core#Concept,29,Afstamming van moederszijde door nietigverklaring van de afstamming van meemoederszijde (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/30,http://www.w3.org/2004/02/skos/core#Concept,30,Afstamming van vaderszijde door nietigverklaring van de afstamming van meemoederszijde (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 1 januari 2015,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/31,http://www.w3.org/2004/02/skos/core#Concept,31,Herziening adoptie (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/40,http://www.w3.org/2004/02/skos/core#Concept,40,"Afstamming op verklaring (Oekraïne, stijgende lijn)",,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/41,http://www.w3.org/2004/02/skos/core#Concept,41,"Afstamming op verklaring (Oekraïne, stijgende lijn)",,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming vanaf 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,,,,
https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Afstammingstype-v1,Codelijst IT110 Afstammingstype (v1),Codelijst van de afstamming types in Informatie Type 110 'Afstamming'.,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,,,
https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Afstammingstype,Codelijst IT110 Afstammingstype,Codelijst van de afstamming types in Informatie Type 110 'Afstamming'.,https://data.vlaanderen.be/id/conceptscheme/IT110,https://data.vlaanderen.be/id/conceptscheme/IT110,,,,
https://data.vlaanderen.be/id/conceptscheme/IT110,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT110,Codelijst IT110,Codelijst van Informatie Type 110 'Afstamming'.,https://data.vlaanderen.be/id/conceptscheme/IT110-IT114,https://data.vlaanderen.be/id/conceptscheme/IT110-IT114,,,,
