@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,note,remarks,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/10,http://www.w3.org/2004/02/skos/core#Concept,10,Kind geboren uit het huwelijk,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/11,http://www.w3.org/2004/02/skos/core#Concept,11,Afstamming van moederszijde met erkenning door de vader bij de geboorte,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/12,http://www.w3.org/2004/02/skos/core#Concept,12,Afstamming van moederszijde (vermelding in de akte van geboorte),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/13,http://www.w3.org/2004/02/skos/core#Concept,13,Afstamming van moederszijde door erkenning,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/14,http://www.w3.org/2004/02/skos/core#Concept,14,Adoptie,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/15,http://www.w3.org/2004/02/skos/core#Concept,15,Volle adoptie,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/16,http://www.w3.org/2004/02/skos/core#Concept,16,Vondeling,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/17,http://www.w3.org/2004/02/skos/core#Concept,17,Afstamming van moederszijde ingevolge de nietigverklaring van de afstamming van vaderszijde,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/18,http://www.w3.org/2004/02/skos/core#Concept,18,Onbekende afstamming,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/19,http://www.w3.org/2004/02/skos/core#Concept,19,Onbepaalde afstamming,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/20,http://www.w3.org/2004/02/skos/core#Concept,20,Afstamming van vaderszijde door erkenning,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/21,http://www.w3.org/2004/02/skos/core#Concept,21,Afstamming van moeders- en/of vaderszijde door vonnis,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/22,http://www.w3.org/2004/02/skos/core#Concept,22,Afstamming van vaderszijde door nietigverklaring van de afstamming van moederszijde,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/23,http://www.w3.org/2004/02/skos/core#Concept,23,Nietigverklaring van de afstamming van moeders- en/of vaderszijde,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/24,http://www.w3.org/2004/02/skos/core#Concept,24,Herroeping adoptie,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/25,http://www.w3.org/2004/02/skos/core#Concept,25,Kind geboren uit het huwelijk van twee vrouwen,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/26,http://www.w3.org/2004/02/skos/core#Concept,26,Afstamming van moederszijde met erkenning van de meemoeder bij de geboort,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/27,http://www.w3.org/2004/02/skos/core#Concept,27,Afstamming van meemoederszijde door erkenning,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/28,http://www.w3.org/2004/02/skos/core#Concept,28,Afstamming van meemoederszijde en/of moederszijde door vonnis,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/29,http://www.w3.org/2004/02/skos/core#Concept,29,Afstamming van moederszijde door nietigverklaring van de afstamming van meemoederszijde,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/30,http://www.w3.org/2004/02/skos/core#Concept,30,Afstamming van vaderszijde door nietigverklaring van de afstamming van meemoederszijde,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 1 januari 2015,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/31,http://www.w3.org/2004/02/skos/core#Concept,31,Herziening adoptie,,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/40,http://www.w3.org/2004/02/skos/core#Concept,40,Afstamming op verklaring (Oekraïne),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/41,http://www.w3.org/2004/02/skos/core#Concept,41,Afstamming op verklaring (Oekraïne),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,,Wijzen van afstamming vanaf 6 juni 1987.,,
https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Afstammingstype,Afstammingstype,Codelijst van de afstamming types in Informatie Type 110 'Afstamming'.,https://data.vlaanderen.be/id/conceptscheme/IT110,https://data.vlaanderen.be/id/conceptscheme/IT110,,,,
https://data.vlaanderen.be/id/conceptscheme/IT110,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT110,Codelijst IT110,Codelijst van Informatie Type 110 'Afstamming'.,https://data.vlaanderen.be/id/conceptscheme/IT110-IT114,https://data.vlaanderen.be/id/conceptscheme/IT110-IT114,,,,
