@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,remarks,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/10,http://www.w3.org/2004/02/skos/core#Concept,10,Tijdelijke afwezigheid,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/11,http://www.w3.org/2004/02/skos/core#Concept,11,Therapie en/of medische hulpverlening,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/12,http://www.w3.org/2004/02/skos/core#Concept,12,Hechtenis,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/13,http://www.w3.org/2004/02/skos/core#Concept,13,Geplaatst in instelling (minderjarige),,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/14,http://www.w3.org/2004/02/skos/core#Concept,14,Buitenlandse opdracht - Defensie,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/15,http://www.w3.org/2004/02/skos/core#Concept,15,Buitenlandse opdracht - Politie,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/16,http://www.w3.org/2004/02/skos/core#Concept,16,Dienstplicht,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/17,http://www.w3.org/2004/02/skos/core#Concept,17,Buitenlandse opdracht - Ambtenaar,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/18,http://www.w3.org/2004/02/skos/core#Concept,18,Buitenlandse opdracht - Coöperatie,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/19,http://www.w3.org/2004/02/skos/core#Concept,19,Landurige verdwijning,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/20,http://www.w3.org/2004/02/skos/core#Concept,20,Beroepsopdracht,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/concept/IT026/RedenAfwezigheid/21,http://www.w3.org/2004/02/skos/core#Concept,21,Studieredenen,,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,,,
https://data.vlaanderen.be/id/conceptscheme/IT026/RedenAfwezigheid,http://www.w3.org/2004/02/skos/core#ConceptScheme,RedenAfwezigheid,Reden tijdelijke afwezigheid,Codelijst van de redenen om tijdelijk afwezig te zijn in Informatie Type 026 'Tijdelijke Afwezigheid'.,https://data.vlaanderen.be/id/conceptscheme/IT026,https://data.vlaanderen.be/id/conceptscheme/IT026,,,
https://data.vlaanderen.be/id/conceptscheme/IT026,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT026,Codelijst IT026,Codelijst van Informatie Type 026 'Tijdelijke Afwezigheid'.,,,,,
