@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,remarks,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/1,http://www.w3.org/2004/02/skos/core#Concept,1,Voorlopige inschrijving,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/2,http://www.w3.org/2004/02/skos/core#Concept,2,Juridische of administratieve actie,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/3,http://www.w3.org/2004/02/skos/core#Concept,3,Juridische of administratieve actie die verwijdering oplegt,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,,,
https://data.vlaanderen.be/id/concept/IT028/ProcedureType/4,http://www.w3.org/2004/02/skos/core#Concept,4,Juridische of administratieve beslissing die toelating geeft om te blijven,,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,,,
https://data.vlaanderen.be/id/conceptscheme/IT028/ProcedureType,http://www.w3.org/2004/02/skos/core#ConceptScheme,ProcedureType,Procedure types,Codelijst van de procedure types in Informatie Type 028 'Voorlopige Inschrijving'.,https://data.vlaanderen.be/id/conceptscheme/IT028,https://data.vlaanderen.be/id/conceptscheme/IT028,,,
https://data.vlaanderen.be/id/conceptscheme/IT028,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT028,Codelijst IT028,Codelijst van Informatie Type 028 'Voorlopige Inschrijving'.,,,,,
