@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/conceptscheme/RSZ-Personeelsklasse/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,RSZ-Personeelklasse-v1,Codelijst RSZ personeelsklassen (v1),Codelijst van personeelklassen gebruikt door RSZ om de omvang van een onderneming aan te duiden.,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse/v1,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse/v1,,,
https://data.vlaanderen.be/id/conceptscheme/RSZ-Personeelsklasse,http://www.w3.org/2004/02/skos/core#ConceptScheme,RSZ-Personeelklasse,Codelijst RSZ personeelsklassen,Codelijst van personeelklassen gebruikt door RSZ om de omvang van een onderneming aan te duiden.,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse,,,
https://data.vlaanderen.be/id/conceptscheme/Omvangklasse/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Omvangklasse-v1,Codelijst omvangklassen (v1),Omvang classificatie van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse,https://data.vlaanderen.be/id/conceptscheme/Omvangklasse,,,
https://data.vlaanderen.be/id/conceptscheme/Omvangklasse,http://www.w3.org/2004/02/skos/core#ConceptScheme,Omvangklasse,Codelijst omvangklassen,Omvang classificatie van een onderneming.,,,,,
