@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://vocab.belgif.be/auth/nace2025/,http://www.w3.org/2004/02/skos/core#ConceptScheme,NACE2025,NACEBEL 2025,Soorten activiteiten van een onderneming volgens NACEBEL 2025 classificatie.,https://data.vlaanderen.be/id/conceptscheme/Activiteitstype/v1,https://data.vlaanderen.be/id/conceptscheme/Activiteitstype/v1,,,
https://data.vlaanderen.be/id/conceptscheme/Activiteitstype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Activiteitstype-v1,Codelijst soort activiteit (v1),Soorten activiteiten van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/Activiteitstype,https://data.vlaanderen.be/id/conceptscheme/Activiteitstype,,,
https://data.vlaanderen.be/id/conceptscheme/Activiteitstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Activiteitstype,Codelijst soort activiteit,Soorten activiteiten van een onderneming.,,,,,
