@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,remarks,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/024,http://www.w3.org/2004/02/skos/core#Concept,024,Splitsing door overneming,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,Zie annotatie voor de reden.,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/025,http://www.w3.org/2004/02/skos/core#Concept,025,Splitsing door oprichting van nieuwe entiteiten,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/026,http://www.w3.org/2004/02/skos/core#Concept,026,Gemengde splitsing,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/030,http://www.w3.org/2004/02/skos/core#Concept,030,Gerechtelijk akkoord voor faling,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/031,http://www.w3.org/2004/02/skos/core#Concept,031,Gerechtelijk akkoord na faling,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/040,http://www.w3.org/2004/02/skos/core#Concept,040,Voorlopige opschorting van betaling,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/041,http://www.w3.org/2004/02/skos/core#Concept,041,Definitieve opschorting van betaling,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/042,http://www.w3.org/2004/02/skos/core#Concept,042,Herroeping van de opschorting,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/043,http://www.w3.org/2004/02/skos/core#Concept,043,Einde van de opschorting,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/048,http://www.w3.org/2004/02/skos/core#Concept,048,Opening faillissement met verschoonbaarheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
