@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/concept/Rechtspersoonlijkheidtype/0,http://www.w3.org/2004/02/skos/core#Concept,0,Onbekend,Het type entiteit is onbekend bij de Kruispuntbank van Ondernemingen (KBO).,https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,,,
https://data.vlaanderen.be/id/concept/Rechtspersoonlijkheidtype/1,http://www.w3.org/2004/02/skos/core#Concept,1,Natuurlijk Persoon,Het type entiteit is een natuurlijk persoon.,https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,,,
https://data.vlaanderen.be/id/concept/Rechtspersoonlijkheidtype/2,http://www.w3.org/2004/02/skos/core#Concept,2,Rechtspersoon,"Het type entiteit is een rechtspersoon zoals een vennootschap, VZW, NV, BV, of organisaties zonder rechtspersoon.",https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtspersoonlijkheidtype,Codelijst Type Entiteit,Type entiteiten binnen de Kruispuntbank van Ondernemingen (KBO).,,,,,
