@id,@type,notation,prefLabel,definition,inScheme,topConceptOf
https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,http://www.w3.org/2004/02/skos/core#ConceptScheme,VKBO-Onderneming,Codelijsten Implementatiemodel VKBO Onderneming,Codelijsten toegepast in de implementatie van Onderneming bij VKBO volgens het Implementatiemodel VKBO Onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO,https://data.vlaanderen.be/id/conceptscheme/VKBO
https://data.vlaanderen.be/id/conceptscheme/VKBO,http://www.w3.org/2004/02/skos/core#ConceptScheme,VKBO,VKBO codelijsten,Alle codelijsten die specifiek zijn voor VKBO.,,
