@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/006,http://www.w3.org/2004/02/skos/core#Concept,006,Stopzetting wegens vervanging van het ondernemingsnummer,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/010,http://www.w3.org/2004/02/skos/core#Concept,010,Ontbinding van rechtswege,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/011,http://www.w3.org/2004/02/skos/core#Concept,011,Activiteitstopzetting in België (buitenlandse entiteit),,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/012,http://www.w3.org/2004/02/skos/core#Concept,012,Vrijwillige ontbinding – vereffening,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/013,http://www.w3.org/2004/02/skos/core#Concept,013,Gerechtelijke ontbinding of nietigheid,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/014,http://www.w3.org/2004/02/skos/core#Concept,014,Sluiting van de vereffening,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/015,http://www.w3.org/2004/02/skos/core#Concept,015,Stopzetting entiteit zonder rechtspersoonlijkheid,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/016,http://www.w3.org/2004/02/skos/core#Concept,016,Stopzetting activiteit entiteit natuurlijk persoon,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/017,http://www.w3.org/2004/02/skos/core#Concept,017,Overdracht geregistreerde entiteit natuurlijk persoon,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/018,http://www.w3.org/2004/02/skos/core#Concept,018,Stopzetting in bekendmaking,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/019,http://www.w3.org/2004/02/skos/core#Concept,019,Stopzetting van een EDRL of niet-EU entiteit,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/021,http://www.w3.org/2004/02/skos/core#Concept,021,Fusie door overneming,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
https://data.vlaanderen.be/id/concept/StopzettingType/v1/022,http://www.w3.org/2004/02/skos/core#Concept,022,Fusie door oprichting van een nieuwe entiteit,,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,https://data.vlaanderen.be/id/conceptscheme/StopzettingType/v1,,
