@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/025,http://www.w3.org/2004/02/skos/core#Concept,025,Landbouwvennootschap,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/026,http://www.w3.org/2004/02/skos/core#Concept,026,Private stichting,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/027,http://www.w3.org/2004/02/skos/core#Concept,027,Europese vennootschap (Societas Europaea),,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/028,http://www.w3.org/2004/02/skos/core#Concept,028,Instelling zonder winstoogmerk,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/029,http://www.w3.org/2004/02/skos/core#Concept,029,Stichting van openbaar nut,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/030,http://www.w3.org/2004/02/skos/core#Concept,030,Buitenlandse entiteit,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/040,http://www.w3.org/2004/02/skos/core#Concept,040,Kongolese vennootschap,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/051,http://www.w3.org/2004/02/skos/core#Concept,051,Andere privaatrechtelijke vorm met rechtspersoonlijkheid,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/060,http://www.w3.org/2004/02/skos/core#Concept,060,Economisch samenwerkingsverband,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/065,http://www.w3.org/2004/02/skos/core#Concept,065,Europees economisch samenwerkingsverband,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/070,http://www.w3.org/2004/02/skos/core#Concept,070,Vereniging van mede-eigenaars,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/106,http://www.w3.org/2004/02/skos/core#Concept,106,Coöperatieve vennootschap met onbeperkte aansprakelijkheid van publiek recht,,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
https://data.vlaanderen.be/id/concept/Rechtsvormtype/107,http://www.w3.org/2004/02/skos/core#Concept,107,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht",,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,,
