@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,remarks,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/13202,http://www.w3.org/2004/02/skos/core#Concept,13202,Niet opvraagbaar,"Gegevens niet opvraagbaar, geen persoonsdossier geregistreerd.",https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/13252,http://www.w3.org/2004/02/skos/core#Concept,13252,Registratie dekt niet gevraagde periode,Registratie persoon dekt niet de gevraagde periode.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/16018,http://www.w3.org/2004/02/skos/core#Concept,16018,Niet beschikbaar,Gegevens uit externe bron zijn niet beschikbaar.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/20002,http://www.w3.org/2004/02/skos/core#Concept,20002,Ongeldig INSZ formaat,INSZ in de vraag heeft een ongeldige structuur.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/25002,http://www.w3.org/2004/02/skos/core#Concept,25002,Taal niet gevonden,Omschrijving in de gevraagde taal niet gevonden.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/30001,http://www.w3.org/2004/02/skos/core#Concept,30001,Geen gegevens,Geen gegevens gevonden voor de vraag.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/30002,http://www.w3.org/2004/02/skos/core#Concept,30002,Geannuleerde INSZ,Persoon heeft een geannuleerde INSZ.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/30004,http://www.w3.org/2004/02/skos/core#Concept,30004,Nieuwe INSZ,Persoon heeft een nieuw INSZ verkregen.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,Indien het nieuwe INSZ enkel uit nullen bestaat betekent dit dat op het moment van annulatie van het oude dossier de persoon niet voldeed aan de voorwaarden om te worden ingeschreven. Er wordt in dat geval geen referentiedossier opgemaakt en het rijksregisternummer wordt ingevuld met nullen.,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/30042,http://www.w3.org/2004/02/skos/core#Concept,30042,Meerdere voorkomens,"Meerdere voorkomens aanwezig bij de bron, slechts 1 voorkomen aanwezig in het Magda antwoord.",https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,Er kan slechts 1 voorkomen van de bron overgenomen worden in het MAGDA antwoord. In een annotatie element is terug te vinden op welk specifiek element dit betrekking heeft. Zie voor het meerder voorkomen van het Beheerder element.,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/30106,http://www.w3.org/2004/02/skos/core#Concept,30106,Ongeldige datum,Gegevens van de bron bevat geen geldige datum.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40001,http://www.w3.org/2004/02/skos/core#Concept,40001,Geen geldige wettelijke context,Er werd geen geldige wettelijke context opgegeven.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40003,http://www.w3.org/2004/02/skos/core#Concept,40003,Geen inschrijving,Geen inschrijving aanwezig voor het INSZ in de vraag.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40006,http://www.w3.org/2004/02/skos/core#Concept,40006,Autorisatiefout,Fout in autorisatie.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40019,http://www.w3.org/2004/02/skos/core#Concept,40019,Bijwerking niet opnieuw uitvoeren,"Gelieve deze bijwerking niet opnieuw uit te voeren, maar om contact op te nemen met de diensten van het Rijksregister.",https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40101,http://www.w3.org/2004/02/skos/core#Concept,40101,Niet beheerd,Het opgegeven INSZ wordt momenteel niet beheerd door het Rijksregister.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40102,http://www.w3.org/2004/02/skos/core#Concept,40102,Geen gegevensgroepen opgegeven,Er werden geen gegevensgroepen opgegeven in de vraag. ,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,"Bij gebruik van ""KSZ"" als bron moet minstens 1 opvrangingKSZ element geselecteerd worden in de vraag.",,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40140,http://www.w3.org/2004/02/skos/core#Concept,40140,INSZ niet gekend in wettelijke context,INSZ niet gekend voor de klant in de juiste wettelijke context.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40200,http://www.w3.org/2004/02/skos/core#Concept,40200,INSZ is Bisnummer,INSZ is een Bisnummer.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40201,http://www.w3.org/2004/02/skos/core#Concept,40201,Opvraging overlijden niet toegestaan,Opvragen indicator 'overlijden' is niet toegestaan.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/40206,http://www.w3.org/2004/02/skos/core#Concept,40206,Toestemming ontbreekt,Er is geen toestemming om een van de gevraagde informatietypes op te halen.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/45016,http://www.w3.org/2004/02/skos/core#Concept,45016,INSZ anomalie,Anomalie gevonden in INSZ.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/48220,http://www.w3.org/2004/02/skos/core#Concept,48220,Foutieve informatie burgelijke staat,We hebben een fout van de bron ontvangen voor element Burgerlijke Staten waardoor we deze gegevens niet kunnen doorgeven indien u hier toegang toe had.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/48221,http://www.w3.org/2004/02/skos/core#Concept,48221,Ontbrekende informatie burgerlijke staat,We hebben niet alle informatie ontvangen die nodig is. Hierdoor ontbreekt er een element in het het gegevensblok Burgerlijke Staat.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,Zie annotatie voor de reden.,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/48222,http://www.w3.org/2004/02/skos/core#Concept,48222,Belgisch adres zonder gemeente,Een Belgische adres zonder gemeente werd gedetecteerd.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/48223,http://www.w3.org/2004/02/skos/core#Concept,48223,Referentieadres toegevoegd,Referentieadres aanduiding zonder adres aanwezig in de authentieke bron.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/48224,http://www.w3.org/2004/02/skos/core#Concept,48224,Vervaldatum referentieadres toegevoegd,Vervaldatum toegevoegd op basis van volgende verschijning voor referentieadres.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/49021,http://www.w3.org/2004/02/skos/core#Concept,49021,Postcode en NIS code discrepantie,Postcode en NISCode van de gemeente komen niet overeen.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/60003,http://www.w3.org/2004/02/skos/core#Concept,60003,Fout formaat in vraag,Fout formaat in de vraag naar de bron toe.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/60009,http://www.w3.org/2004/02/skos/core#Concept,60009,Technisch probleem,Er heeft zich een technisch probleem voorgedaan.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/60013,http://www.w3.org/2004/02/skos/core#Concept,60013,Fout in brontoegang,Fout in toegang naar de bron.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/99981,http://www.w3.org/2004/02/skos/core#Concept,99981,Onbekend land,Gegevens over het land zijn niet gekende bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,Te mappen op onbekende code.,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/99983,http://www.w3.org/2004/02/skos/core#Concept,99983,Onbekende broncode,MAGDA code niet aanwezig voor teruggekomen broncode. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,Te mappen op onbekende code.,,
https://data.vlaanderen.be/id/concept/MAGDA/Uitzondering/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Uitzonderingen-v1,Codelijst MAGDA Uitzonderingen (v1),Codelijst van alle uitzonderingen van de MAGDA diensten.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Uitzondering,http://www.w3.org/2004/02/skos/core#ConceptScheme,Uitzonderingen,Codelijst MAGDA Uitzonderingen,Codelijst van alle uitzonderingen van de MAGDA diensten.,https://data.vlaanderen.be/id/conceptscheme/MAGDA,https://data.vlaanderen.be/id/conceptscheme/MAGDA,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA,MAGDA codelijsten,Alle codelijsten die specifiek zijn voor de MAGDA diensten.,,,,,
